session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab9e2f45d5c1db47a1976e,616fdc840ce2dd1fa1cb1e4d,AWAITING REVIEW,2022-06-16 21:18:57.859000,2022-06-16 21:27:00.490000,482.631,24,56,0,100,,7781F798,South Africa,South Africa,Other,DATA EXPIRED,South Africa,Female,No
62ab9e3182322f3af78752b7,5c46e8de59a3a60001a265e8,AWAITING REVIEW,2022-06-16 21:18:41.729000,2022-06-16 21:27:35.469000,533.74,27,404,2,100,,7781F798,Poland,Poland,Full-Time,Polish,Poland,Male,No
62ab9e333adabb2b7db78a15,5f61578829b2480f4a57565a,AWAITING REVIEW,2022-06-16 21:18:43.873000,2022-06-16 21:23:37.989000,294.116,22,176,4,98,,7781F798,Portugal,Portugal,Due to start a new job within the next month,Portuguese,Portugal,Female,No
62ab9e359d51d53595362036,5c54d3cf1c1e73000113522f,AWAITING REVIEW,2022-06-16 21:18:56.577000,2022-06-16 21:27:23.656000,507.079,27,59,0,100,,7781F798,Denmark,Denmark,Unemployed (and job seeking),Danish,Denmark,Male,No
62aba03229d63dcde2712832,5e6934b3d899221f45b2662f,REJECTED,2022-06-16 21:27:14.091000,2022-06-16 21:32:54.471000,340.38,22,68,2,99,2022-06-16 21:39:22.232000,39F54BF2,Poland,Poland,Due to start a new job within the next month,Polish,Poland,Male,Yes
62aba06751a4f467bee84239,5fb7e16c5619403fe02935c4,AWAITING REVIEW,2022-06-16 21:28:07.129000,2022-06-16 21:34:59.791000,412.662,21,125,4,96,,7781F798,Portugal,Portugal,Part-Time,Portuguese,Portugal,Female,Yes
62aba0a41010b3f14a833312,614d05f9b577ed47c8b6db75,AWAITING REVIEW,2022-06-16 21:29:41.291000,2022-06-16 21:35:01.453000,320.162,23,23,0,100,,7781F798,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Female,Yes
62aba227511c90b0d7faabc8,616c3f3a378cb38f3f7ecac3,AWAITING REVIEW,2022-06-16 21:38:39.024000,2022-06-16 21:44:57.420000,378.396,53,227,8,96,,7781F798,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,Yes
62aba30fb143e06285a5213d,5e5315fcb10be73369f13284,AWAITING REVIEW,2022-06-16 21:39:27.984000,2022-06-16 21:43:26.465000,238.481,23,218,1,100,,7781F798,Italy,Italy,Unemployed (and job seeking),Italian,Italy,Male,No
62aba3a234c72a253429f6d0,61267b828ead584bcf092e35,AWAITING REVIEW,2022-06-16 21:42:28.749000,2022-06-16 21:56:57.060000,868.311,33,191,2,99,,7781F798,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62aba8507922bc3752b10ff0,60dbd9e4f38631ec3581c746,AWAITING REVIEW,2022-06-16 22:02:01.394000,2022-06-16 22:08:31.847000,390.453,49,266,3,100,,39F54BF2,Serbia,Spain,Full-Time,Serbian,Spain,Female,No
62abac6686d2d9fe0b22fe79,60087e9189ddb34b79b08be5,RETURNED,2022-06-16 22:19:18.988000,,55063.743695,27,262,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62abac7489f2c7b3a39a1d3d,5ea967566e16ad037690bc4c,RETURNED,2022-06-16 22:19:33.843000,,55048.907563,31,297,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62abacd92ce79815434928a0,615e4202fd053bc68e509de4,REJECTED,2022-06-16 22:22:08.566000,2022-06-16 22:33:27.043000,678.477,21,53,1,100,2022-06-16 22:36:17.728000,39F54BF2,South Africa,South Africa,Part-Time,DATA EXPIRED,South Africa,Male,Yes
62abb057386d05a7f621c9d4,5ecc17baf40bde40e681a6c0,AWAITING REVIEW,2022-06-16 22:36:15.973000,2022-06-16 22:41:46.670000,330.697,21,245,0,100,,NOCODE,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
62abb062c2f8de6a518bc4a6,5efd2d68e921d21715e2ad38,AWAITING REVIEW,2022-06-16 22:36:52.338000,2022-06-16 22:42:50.340000,358.002,23,139,2,99,,7781F798,Italy,Italy,DATA EXPIRED,Italian,Italy,Female,DATA EXPIRED
