session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Record Video,Sex,Student Status,Webcam
62a9eb70a12a6e7fa33c4fc0,615c9048009908071a2faa55,RETURNED,2022-06-15 14:24:18.987000,,61316.349527,24,15,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9eb80250bb64e3ccd7b55,60bf8ac0ada16d1f6e8d5e9c,RETURNED,2022-06-15 14:30:33.831000,,60941.518193,21,55,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ebaaeeaee49e563c2d25,60d2f9397932f9695f49f5f4,RETURNED,2022-06-15 14:24:45.091000,,61290.270922,35,158,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ec076413aecfe61c8bb3,613aa0162f4662712a517461,RETURNED,2022-06-15 14:36:15.401000,,60599.974331,24,153,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ec16e77b6e9459ff4224,5e28e735ea776009d4d15c34,RETURNED,2022-06-15 14:36:30.766000,,60584.621797,36,1175,9,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ec4b2881f05b808ff2eb,5d0ce65611f9b50015c4ae74,RETURNED,2022-06-15 14:37:23.104000,,60532.296689,21,146,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ec4d222c0f94e36918d9,5baa21188a01680001ff1a6f,RETURNED,2022-06-15 14:27:33.092000,,61122.320619,49,543,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ec6b94438305129fbfc8,612266b4f9ae4a5d04a21dd4,AWAITING REVIEW,2022-06-15 14:28:02.801000,2022-06-15 14:34:23.901000,381.1,32,499,5,98,,39F54BF2,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Yes,Male,No,Yes
62a9ec97b186e24217f3a3f5,5da74e9437d4210016492810,RETURNED,2022-06-15 14:38:39.642000,,60455.800752,52,317,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ecf042dbae5655c7cfad,601e028aea41df251254119a,AWAITING REVIEW,2022-06-15 14:30:08.036000,2022-06-15 14:42:19.380000,731.344,32,666,0,100,,39F54BF2,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Yes,Female,No,Yes
