session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab1ef833b6ecf12d8ab712,5f52a6b3ca6e321757e6d8a6,AWAITING REVIEW,2022-06-16 12:15:55.836000,2022-06-16 12:24:29.637000,513.801,21,276,1,100,,78AD9052,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
62ab1ef954d5edd54b41a967,60733d6690d0d13013e9f40a,AWAITING REVIEW,2022-06-16 12:15:53.186000,2022-06-16 12:21:23.915000,330.729,24,156,0,100,,78AD9052,Portugal,Portugal,Other,Portuguese,Portugal,Male,Yes
62ab1ef965a60443354dd1d0,6123be8a4465f746c2bbacc8,AWAITING REVIEW,2022-06-16 12:15:53.931000,2022-06-16 12:21:00.098000,306.167,27,65,0,100,,78AD9052,Greece,Greece,DATA EXPIRED,Greek,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
62ab1efa3bfa11782f7df4ab,60250e6ac74f84274efa58ea,AWAITING REVIEW,2022-06-16 12:15:56.942000,2022-06-16 12:23:39.758000,462.816,24,164,1,100,,78AD9052,Italy,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",Italian,Italy,Male,No
62ab1efcaaf2d7a32132c5d5,5fc9336404f01439deeefc9c,AWAITING REVIEW,2022-06-16 12:15:56.312000,2022-06-16 12:22:23.061000,386.749,21,110,1,100,,78AD9052,Portugal,Portugal,Part-Time,Portuguese,Portugal,Male,Yes
62ab1efe0f1f993f122b6d6e,61349de7a00deb717f2ee962,AWAITING REVIEW,2022-06-16 12:16:11.844000,2022-06-16 12:34:54.194000,1122.35,20,43,0,100,,78AD9052,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Male,Yes
62ab1f014e95eeb0e6c0d326,606ec721693c1a323e691614,AWAITING REVIEW,2022-06-16 12:16:01.800000,2022-06-16 12:26:14.835000,613.035,21,76,1,100,,78AD9052,Portugal,Portugal,Other,Portuguese,Portugal,Female,Yes
62ab1f066f698a4d748f64f1,5b7890f1688191000165767a,AWAITING REVIEW,2022-06-16 12:16:10.552000,2022-06-16 12:25:18.434000,547.882,55,138,0,100,,78AD9052,Germany,United Kingdom,Part-Time,German,Germany,Female,No
62ab1f06a89c9357c3db653e,5ec2e068e4720610dbb7cc7f,AWAITING REVIEW,2022-06-16 12:16:06.239000,2022-06-16 12:20:05.684000,239.445,24,70,2,95,,78AD9052,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED
62ab1f09431fb709b5575303,5e8340a530500a04addfec7a,AWAITING REVIEW,2022-06-16 12:16:09.111000,2022-06-16 12:29:39.646000,810.535,24,77,1,100,,78AD9052,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Male,DATA EXPIRED
62ab1f0b67a1b7f42290981d,606f1cd1cad9709b859b8670,AWAITING REVIEW,2022-06-16 12:16:11.185000,2022-06-16 12:21:51.145000,339.96,21,24,2,95,,78AD9052,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,Yes
62ab1f0dde64cdb70b076e84,61524bbc25d763f05d100f98,REJECTED,2022-06-16 12:16:20.452000,2022-06-16 12:31:17.577000,897.125,26,64,3,96,2022-06-16 13:53:22.601000,39F54BF2,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,Yes
62ab1f0f4b5d3270e80baf03,5c1d19c810677f0001d9d56c,REJECTED,2022-06-16 12:16:22.014000,2022-06-16 12:40:45.721000,1463.707,44,476,7,99,2022-06-16 14:34:36.486000,78AD9052,Cameroon,Mexico,Full-Time,Spanish,Mexico,Male,No
62ab1f10ddf2e89fa1e4e758,608ac7c46763883ddaa7cc50,REJECTED,2022-06-16 12:16:16.874000,2022-06-16 12:39:43.993000,1407.119,24,41,2,97,2022-06-16 13:48:28.889000,NOCODE,Poland,Poland,Part-Time,Polish,Poland,Male,Yes
62ab1f10eac201bb35f2f7b1,5fd131a9a38b070be1ad92f0,AWAITING REVIEW,2022-06-16 12:16:56.965000,2022-06-16 12:27:41.813000,644.848,25,158,0,100,,78AD9052,Israel,Israel,Part-Time,Hebrew,Israel,Female,Yes
62ab1f12d770f212a7533276,614e7d9555b24fc49b648500,AWAITING REVIEW,2022-06-16 12:19:20.673000,2022-06-16 12:27:23.956000,483.283,20,91,1,100,,78AD9052,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab1f135d995afeafbfceb1,614083f44ae49152b80502a1,AWAITING REVIEW,2022-06-16 12:16:25.311000,2022-06-16 12:24:04.061000,458.75,51,126,1,100,,78AD9052,South Africa,South Africa,Part-Time,DATA EXPIRED,South Africa,Female,No
